Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.089,0.384,1.022,579.222,vehi,km,None,None
3,0.074,0.256,1.501,420.636,vehi,km,None,None
4,0.081,0.236,1.553,353.351,vehi,km,None,None
5,0.076,0.212,1.579,306.113,vehi,km,None,None
6,0.089,0.172,1.75,265.516,vehi,km,None,None
2,0.088,0.315,1.244,451.598,vehi,agg,cosine,complete
3,0.105,0.161,1.464,315.108,vehi,agg,cosine,complete
4,0.111,0.175,1.576,276.381,vehi,agg,cosine,complete
5,0.1,0.17,1.579,244.743,vehi,agg,cosine,complete
6,0.103,0.117,1.573,201.173,vehi,agg,cosine,complete
