Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.103,0.324,1.219,472.618,vehi,km,None,None
3,0.095,0.274,1.386,426.072,vehi,km,None,None
4,0.097,0.217,1.844,327.045,vehi,km,None,None
5,0.082,0.196,1.752,281.066,vehi,km,None,None
6,0.106,0.173,1.677,251.405,vehi,km,None,None
2,0.074,0.382,1.008,564.184,vehi,agg,cosine,complete
3,0.091,0.269,1.393,420.962,vehi,agg,cosine,complete
4,0.108,0.15,2.364,289.998,vehi,agg,cosine,complete
5,0.108,0.053,2.338,220.302,vehi,agg,cosine,complete
6,0.112,0.05,2.454,186.896,vehi,agg,cosine,complete
