Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.083,0.39,1.03,588.783,vehi,km,None,None
3,0.063,0.261,1.434,428.937,vehi,km,None,None
4,0.063,0.236,1.588,354.014,vehi,km,None,None
5,0.07,0.202,1.553,300.59,vehi,km,None,None
6,0.063,0.159,1.848,259.546,vehi,km,None,None
2,0.107,0.361,1.096,541.125,vehi,agg,cosine,complete
3,0.11,0.211,2.128,318.483,vehi,agg,cosine,complete
4,0.11,0.188,1.69,271.897,vehi,agg,cosine,complete
5,0.109,0.197,1.601,247.469,vehi,agg,cosine,complete
6,0.088,0.175,1.577,240.413,vehi,agg,cosine,complete
