Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.592,0.375,1.123,318.07,vote,km,None,None
3,0.501,0.255,2.112,181.107,vote,km,None,None
4,0.528,0.27,1.661,144.387,vote,km,None,None
5,0.436,0.238,1.882,122.957,vote,km,None,None
6,0.403,0.2,1.975,104.375,vote,km,None,None
2,0.503,0.365,1.152,303.956,vote,agg,euclidean,complete
3,0.547,0.278,1.998,188.811,vote,agg,euclidean,complete
4,0.559,0.269,1.857,139.721,vote,agg,euclidean,complete
5,0.401,0.169,2.377,112.438,vote,agg,euclidean,complete
6,0.404,0.169,2.304,92.509,vote,agg,euclidean,complete
