Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.592,0.375,1.122,316.669,vote,km,None,None
3,0.516,0.24,2.354,174.779,vote,km,None,None
4,0.49,0.265,2.212,138.684,vote,km,None,None
5,0.357,0.159,2.452,109.787,vote,km,None,None
6,0.338,0.166,2.422,93.659,vote,km,None,None
2,0.571,0.365,1.145,301.131,vote,agg,euclidean,complete
3,0.462,0.269,1.935,183.78,vote,agg,euclidean,complete
4,0.405,0.174,2.511,133.191,vote,agg,euclidean,complete
5,0.275,0.085,2.651,107.173,vote,agg,euclidean,complete
6,0.267,0.087,2.65,94.483,vote,agg,euclidean,complete
