Number of clusters,ari,sil,dbs,ch,dataset,clusteringAlg,affinity,linkage
2,0.592,0.375,1.121,318.13,vote,km,None,None
3,0.484,0.232,2.425,173.801,vote,km,None,None
4,0.339,0.171,2.351,146.983,vote,km,None,None
5,0.291,0.152,2.108,124.501,vote,km,None,None
6,0.258,0.151,2.104,107.516,vote,km,None,None
2,0.635,0.371,1.118,309.004,vote,agg,euclidean,complete
3,0.544,0.265,1.618,176.421,vote,agg,euclidean,complete
4,0.481,0.251,1.802,136.852,vote,agg,euclidean,complete
5,0.485,0.185,2.231,111.846,vote,agg,euclidean,complete
6,0.316,0.139,2.418,99.382,vote,agg,euclidean,complete
